age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
1196,49,375,0,192,924,841,107,8,263,75,0
1703,67,3069,0,7918,4878,21715,229,3,1528,224,1
1949,0,20,0,0,1285,14,665,0,0,1,0
542,3,0,0,9,3,3,4,0,0,4,0
1065,95,545,0,289,4918,4641,201,6,4395,130,2
523,20,5,0,0,4,4,1,0,0,0,0
1228,59,90,0,591,1434,1633,266,1,743,233,0
1091,92,61,0,88,204,160,50,4,153,40,0
1328,79,102,0,147,205,221,68,5,121,69,1
158,0,0,0,0,0,2,1,0,0,0,0
1857,39,24,0,6,3,5,4,1,2,3,0
605,6,5,0,0,6,4,7,0,0,2,0
14,0,0,0,0,0,4,1,0,0,0,0
1438,29,52,0,411,336,369,88,6,348,87,1
444,10,1,0,0,1,0,1,0,0,0,0
511,1,0,0,0,4,0,0,0,0,0,0
948,6,7,0,20,8,10,9,0,1,8,0
703,26,7,0,15,17,19,13,0,1,9,0
799,10,4,0,2,18,19,13,0,0,1,0
937,18,10,0,2,60,29,7,1,10,1,0
419,10,2,0,5,23,30,1,0,1,1,0
1541,4,0,0,0,6,6,0,0,0,0,0
499,14,5,0,9,11,2,4,1,0,2,0
921,10,5,0,3,3,2,3,0,0,2,0
82,1,0,0,0,3,0,1,0,0,0,0
392,2,6,0,0,2,0,0,1,0,0,0
256,0,0,0,0,2,4,1,0,0,0,0
358,16,22,0,0,2,1,1,0,0,0,0
445,6,0,0,0,1,4,1,0,0,0,0
1039,16,34,0,14,117,73,12,0,11,9,0
1440,76,301,0,152,85,196,65,1,17,59,0
1005,16,13,0,0,1,0,0,2,0,0,0
422,0,0,0,0,1,0,0,0,0,0,0
911,16,33,0,395,1022,1115,214,1,1009,180,1
1196,43,169,0,128,115,134,72,4,64,59,0
1028,28,12,0,84,155,186,62,0,89,49,0
871,16,11,0,1,9,11,5,0,1,1,0
809,21,6,0,0,10,7,0,2,1,0,0
1013,10,3,0,12,42,11,10,0,1,6,0
883,49,11,0,18,34,56,26,0,9,16,0
542,1,1,0,0,1,0,0,1,0,0,0
1311,30,3,0,3,8,13,4,0,0,3,0
1141,25,4,0,0,3,4,0,0,0,0,0
816,1,0,0,0,1,0,0,0,0,0,0
773,6,1,0,2,2,1,2,1,0,1,0
1001,4,0,0,5,14,21,4,0,2,2,0
1236,97,603,0,412,802,1093,164,4,189,145,1
280,15,2,0,13,11,17,6,1,6,5,0
1573,83,496,0,158,141,205,52,5,56,43,0
955,2,0,0,0,0,0,1,0,0,0,0
888,32,8,0,1,0,2,1,3,0,1,0
1276,13,3,0,14,8,7,9,1,1,7,0
1039,67,34,0,23,55,74,19,1,80,13,0
1348,31,4,0,11,103,60,6,0,8,3,0
1410,29,13,0,13,16,40,13,2,3,10,0
1004,16,4,0,2,5,0,0,0,0,3,0
428,1,1,0,0,0,0,0,1,0,0,0
588,1,0,0,4,6,7,2,0,0,1,0
1139,602,144,0,39,154,133,16,7,155,14,0
1266,111,307,0,314,261,49,6,5,320,63,0
1072,17,4,0,0,0,0,1,0,0,0,0
827,34,19,0,0,0,0,1,3,0,0,0
1508,391,125,0,201,220,244,78,3,189,79,0
1286,9,1,0,1,5,2,0,0,0,1,0
106,0,0,0,0,1,0,2,0,0,0,0
524,7,4,0,72,112,92,20,0,21,13,0
397,13,0,0,0,1,2,2,0,0,1,0
1186,23,2,0,11,2,6,2,0,8,1,0
1085,4,3,0,0,5,4,1,0,0,0,0
1155,74,153,0,161,186,241,67,2,55,72,0
470,10,2,0,0,5,1,2,0,0,0,0
434,3,2,0,0,0,0,2,0,0,0,0
390,1,2,0,0,3,1,1,0,0,0,0
829,10,8,0,13,26,18,8,1,3,7,0
842,0,1,0,0,6,7,2,0,0,0,0
1661,87,447,0,221,319,513,54,4,66,37,1
24,2,0,0,0,0,0,1,0,0,0,0
308,14,0,0,0,3,4,6,0,0,0,0
1743,17,6,0,1,1,3,1,0,0,1,0
343,3,0,0,0,1,0,1,0,0,0,0
374,17,0,0,0,0,2,0,1,0,0,0
496,4,4,0,0,8,10,6,1,0,0,0
333,2,3,0,0,0,1,1,1,0,0,0
828,27,27,0,27,81,59,17,3,17,11,0
646,5,9,0,3,80,47,28,2,10,2,0
1321,12,50,0,39,13,17,11,1,1,5,0
418,9,0,0,11,8,5,4,0,0,4,0
487,1,0,0,0,1,0,1,0,0,0,0
864,8,1,0,11,21,21,4,0,6,5,0
278,0,0,0,0,0,0,1,0,0,0,0
901,17,1,0,0,0,21,0,0,0,0,0
40,1,0,0,0,0,8,0,0,0,0,0
250,8,3,0,16,10,6,7,0,12,6,0
872,17,14,0,0,5,4,1,9,0,0,0
893,85,12,0,111,389,391,69,0,89,58,0
207,4,0,0,0,6,6,3,0,0,1,0
723,12,3,0,17,44,56,9,1,30,9,0
102,1,0,0,0,0,0,1,0,0,0,0
