newcomer,age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
False,1196,1,375,0,192,921,840,107,8,263,75,0
False,1703,3,3069,0,7771,4819,21571,224,3,1497,196,1
False,1949,0,20,0,0,1285,14,665,0,0,1,0
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,542,1,0,0,9,3,3,4,0,0,4,0
False,1065,2,545,0,288,4851,4602,200,6,4348,129,2
False,542,1,0,0,9,3,3,4,0,0,4,0
False,1949,0,20,0,0,1285,14,665,0,0,1,0
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,542,1,0,0,9,3,3,4,0,0,4,0
False,523,0,5,0,0,3,4,1,0,0,0,0
False,523,0,5,0,0,3,4,1,0,0,0,0
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,1228,1,90,0,591,1434,1633,266,1,743,233,0
False,1687,3,3069,0,7603,4588,21101,208,3,1257,180,1
False,1091,2,61,0,84,199,157,49,4,153,37,0
False,1091,2,61,0,84,199,157,49,4,153,37,0
False,1702,3,3069,0,7768,4816,21566,224,3,1496,196,1
False,1091,2,61,0,84,199,157,49,4,153,37,0
False,1328,2,102,0,133,199,221,68,5,115,65,1
False,1702,3,3069,0,7768,4816,21566,224,3,1496,196,1
False,1091,2,61,0,84,199,157,49,4,153,37,0
True,158,0,0,0,0,0,0,1,0,0,0,0
False,1857,1,24,0,6,3,5,4,1,2,3,0
False,1673,3,3069,0,7512,4487,20785,192,3,1223,165,1
False,605,1,5,0,0,4,3,6,0,0,2,0
False,1645,3,3069,0,7350,4352,20247,174,3,1147,149,1
False,14,0,0,0,0,0,4,1,0,0,0,0
False,1438,1,52,0,395,330,353,86,6,318,84,1
False,14,0,0,0,0,0,4,1,0,0,0,0
False,1658,3,3069,0,7406,4401,20448,181,3,1162,156,1
False,444,0,1,0,0,1,0,1,0,0,0,0
False,511,0,0,0,0,4,0,0,0,0,0,0
False,444,0,1,0,0,1,0,1,0,0,0,0
False,1636,3,3069,0,7327,4342,20179,174,3,1144,149,1
False,1636,3,3069,0,7327,4342,20179,174,3,1144,149,1
False,948,1,7,0,20,8,8,9,0,1,8,0
False,948,1,7,0,20,8,8,9,0,1,8,0
False,703,3,7,0,5,13,17,7,0,0,5,0
False,1695,3,3069,0,7690,4672,21269,214,3,1396,186,1
False,703,3,7,0,5,13,17,7,0,0,5,0
False,1695,3,3069,0,7690,4672,21269,214,3,1396,186,1
False,948,1,7,0,20,8,8,9,0,1,8,0
False,799,0,4,0,2,17,19,13,0,0,1,0
False,799,0,4,0,2,17,19,13,0,0,1,0
False,937,1,10,0,2,60,29,7,1,10,1,0
False,419,1,2,0,5,20,23,1,0,1,1,0
False,1064,2,545,0,286,4820,4597,200,6,4325,129,2
False,1541,0,0,0,0,1,0,0,0,0,0,0
False,1699,3,3069,0,7720,4720,21379,218,3,1398,190,1
False,799,0,4,0,2,17,19,13,0,0,1,0
False,419,1,2,0,5,20,23,1,0,1,1,0
False,1064,2,545,0,286,4820,4597,200,6,4325,129,2
False,1699,3,3069,0,7720,4720,21379,218,3,1398,190,1
False,1541,0,0,0,0,1,0,0,0,0,0,0
False,499,1,5,0,8,10,2,4,1,0,2,0
False,499,1,5,0,8,10,2,4,1,0,2,0
False,1658,3,3069,0,7406,4401,20448,181,3,1162,156,1
False,921,1,5,0,3,3,2,3,0,0,2,0
False,1697,3,3069,0,7701,4700,21314,216,3,1397,188,1
False,82,0,0,0,0,3,0,1,0,0,0,0
False,921,1,5,0,3,3,2,3,0,0,2,0
False,392,0,6,0,0,2,0,0,1,0,0,0
False,921,1,5,0,3,3,2,3,0,0,2,0
False,1697,3,3069,0,7701,4700,21314,216,3,1397,188,1
False,256,0,0,0,0,2,4,1,0,0,0,0
False,358,0,22,0,0,1,1,1,0,0,0,0
False,1618,3,3069,0,7289,4283,20012,170,3,1124,146,1
False,445,0,0,0,0,1,4,1,0,0,0,0
False,1039,1,34,0,14,76,47,11,0,3,9,0
False,1440,1,301,0,152,85,194,65,1,17,59,0
False,445,0,0,0,0,1,4,1,0,0,0,0
False,1030,2,545,0,286,4723,4517,200,6,4000,129,2
