age,repo_num,follower_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num
1196,49,375,192,924,841,107,8,263,75
1703,67,3069,7918,4878,21715,229,3,1528,224
1949,0,20,0,1285,14,665,0,0,1
542,3,0,9,3,3,4,0,0,4
1065,95,545,289,4918,4641,201,6,4395,130
523,20,5,0,4,4,1,0,0,0
1228,59,90,591,1434,1633,266,1,743,233
1091,92,61,88,204,160,50,4,153,40
1328,79,102,147,205,221,68,5,121,69
158,0,0,0,0,2,1,0,0,0
1857,39,24,6,3,5,4,1,2,3
605,6,5,0,6,4,7,0,0,2
14,0,0,0,0,4,1,0,0,0
1438,29,52,411,336,369,88,6,348,87
444,10,1,0,1,0,1,0,0,0
511,1,0,0,4,0,0,0,0,0
948,6,7,20,8,10,9,0,1,8
703,26,7,15,17,19,13,0,1,9
799,10,4,2,18,19,13,0,0,1
937,18,10,2,60,29,7,1,10,1
419,10,2,5,23,30,1,0,1,1
1541,4,0,0,6,6,0,0,0,0
499,14,5,9,11,2,4,1,0,2
921,10,5,3,3,2,3,0,0,2
82,1,0,0,3,0,1,0,0,0
392,2,6,0,2,0,0,1,0,0
256,0,0,0,2,4,1,0,0,0
358,16,22,0,2,1,1,0,0,0
445,6,0,0,1,4,1,0,0,0
1039,16,34,14,117,73,12,0,11,9
1440,76,301,152,85,196,65,1,17,59
1005,16,13,0,1,0,0,2,0,0
422,0,0,0,1,0,0,0,0,0
911,16,33,395,1022,1115,214,1,1009,180
1196,43,169,128,115,134,72,4,64,59
1028,28,12,84,155,186,62,0,89,49
871,16,11,1,9,11,5,0,1,1
809,21,6,0,10,7,0,2,1,0
1013,10,3,12,42,11,10,0,1,6
883,49,11,18,34,56,26,0,9,16
542,1,1,0,1,0,0,1,0,0
1311,30,3,3,8,13,4,0,0,3
1141,25,4,0,3,4,0,0,0,0
816,1,0,0,1,0,0,0,0,0
773,6,1,2,2,1,2,1,0,1
1001,4,0,5,14,21,4,0,2,2
1236,97,603,412,802,1093,164,4,189,145
280,15,2,13,11,17,6,1,6,5
1573,83,496,158,141,205,52,5,56,43
955,2,0,0,0,0,1,0,0,0
888,32,8,1,0,2,1,3,0,1
1276,13,3,14,8,7,9,1,1,7
1039,67,34,23,55,74,19,1,80,13
1348,31,4,11,103,60,6,0,8,3
1410,29,13,13,16,40,13,2,3,10
1004,16,4,2,5,0,0,0,0,3
428,1,1,0,0,0,0,1,0,0
588,1,0,4,6,7,2,0,0,1
1139,602,144,39,154,133,16,7,155,14
1266,111,307,314,261,49,6,5,320,63
1072,17,4,0,0,0,1,0,0,0
827,34,19,0,0,0,1,3,0,0
1508,391,125,201,220,244,78,3,189,79
1286,9,1,1,5,2,0,0,0,1
106,0,0,0,1,0,2,0,0,0
524,7,4,72,112,92,20,0,21,13
397,13,0,0,1,2,2,0,0,1
1186,23,2,11,2,6,2,0,8,1
1085,4,3,0,5,4,1,0,0,0
1155,74,153,161,186,241,67,2,55,72
470,10,2,0,5,1,2,0,0,0
434,3,2,0,0,0,2,0,0,0
390,1,2,0,3,1,1,0,0,0
829,10,8,13,26,18,8,1,3,7
842,0,1,0,6,7,2,0,0,0
1661,87,447,221,319,513,54,4,66,37
24,2,0,0,0,0,1,0,0,0
308,14,0,0,3,4,6,0,0,0
1743,17,6,1,1,3,1,0,0,1
343,3,0,0,1,0,1,0,0,0
374,17,0,0,0,2,0,1,0,0
496,4,4,0,8,10,6,1,0,0
333,2,3,0,0,1,1,1,0,0
828,27,27,27,81,59,17,3,17,11
646,5,9,3,80,47,28,2,10,2
1321,12,50,39,13,17,11,1,1,5
418,9,0,11,8,5,4,0,0,4
487,1,0,0,1,0,1,0,0,0
864,8,1,11,21,21,4,0,6,5
278,0,0,0,0,0,1,0,0,0
901,17,1,0,0,21,0,0,0,0
40,1,0,0,0,8,0,0,0,0
250,8,3,16,10,6,7,0,12,6
872,17,14,0,5,4,1,9,0,0
893,85,12,111,389,391,69,0,89,58
207,4,0,0,6,6,3,0,0,1
723,12,3,17,44,56,9,1,30,9
102,1,0,0,0,0,1,0,0,0
1359,18,1,0,23,17,4,0,0,0
528,1,0,0,5,2,0,0,0,0
1055,4,6,0,1,0,0,0,0,0
369,1,0,2,2,7,2,0,0,2
702,4,0,0,2,1,0,0,0,0
604,15,1,2,20,13,7,1,1,1
1106,1,2,8,20,4051,13,0,0,5
1295,83,27,132,203,159,60,4,47,48
575,7,2,1,17,17,5,2,0,1
831,13,1,32,51,48,13,0,5,7
677,4,2,0,2,1,1,0,0,0
605,0,1,0,1,0,2,0,0,0
1576,51,13,0,40,22,2,0,0,0
324,17,6,17,15,13,12,1,0,11
979,38,30,0,2,0,0,4,0,0
757,27,30,32,221,205,64,0,22,29
508,31,7,1,2,2,1,10,0,1
1286,55,35,21,95,61,10,2,172,8
