newcomer,age,repos,commit_comments,commits,issue_comments,issue_events,issues,pr_comments,prs
1,539,2,0,46,111,112,36,124,26
1,1275,3,193,8663,4304,20064,170,1133,146
1,1262,3,193,8635,4278,19990,170,1124,146
1,1262,3,193,8635,4278,19990,170,1124,146
1,1262,3,193,8635,4278,19990,170,1124,146
1,1262,3,193,8635,4278,19990,170,1124,146
1,1262,3,193,8635,4278,19990,170,1124,146
1,1212,3,193,8309,4145,19203,163,1061,139
1,1212,3,193,8309,4145,19203,163,1061,139
1,625,1,0,3,3,10,2,3,2
1,1196,3,190,7992,3954,18436,141,991,118
1,1140,3,189,7484,3683,17085,122,856,100
1,648,5,3,25,96,96,12,37,10
1,1121,3,187,7329,3573,16636,106,820,84
1,1068,3,167,6858,3173,14797,67,624,49
1,1019,3,159,6529,2949,13831,44,545,31
1,1340,3,199,9058,4641,21191,210,1388,182
1,1340,3,199,9058,4641,21191,210,1388,182
1,1340,3,199,9058,4641,21191,210,1388,182
1,1340,3,199,9058,4641,21191,210,1388,182
1,1340,3,199,9058,4641,21191,210,1388,182
1,1228,3,193,8472,4201,19573,168,1115,144
1,1228,3,193,8472,4201,19573,168,1115,144
1,1228,3,193,8472,4201,19573,168,1115,144
1,1228,3,193,8472,4201,19573,168,1115,144
1,1225,3,193,8458,4192,19530,167,1111,143
1,1225,3,193,8458,4192,19530,167,1111,143
1,1216,3,193,8369,4155,19333,163,1064,139
1,1202,3,190,8049,3980,18568,143,1015,120
1,1198,3,190,7997,3964,18459,141,994,118
1,1194,3,190,7963,3923,18307,141,982,118
1,1194,3,190,7963,3923,18307,141,982,118
1,1194,3,190,7963,3923,18307,141,982,118
1,186,1,0,1,4,7,3,0,2
1,1194,3,190,7963,3923,18307,141,982,118
1,1194,3,190,7963,3923,18307,141,982,118
1,1194,3,190,7963,3923,18307,141,982,118
1,1188,3,190,7882,3892,18137,141,952,118
1,1187,3,190,7876,3891,18117,141,952,118
1,1184,3,190,7875,3891,18109,141,952,118
1,1184,3,190,7875,3891,18109,141,952,118
1,1183,3,190,7853,3886,18074,141,947,118
1,1171,3,190,7704,3786,17758,134,902,112
1,781,2,4,143,105,158,49,22,41
1,1156,3,189,7583,3738,17397,128,878,106
1,1030,3,78,250,717,923,149,169,130
1,1155,3,189,7583,3738,17393,128,878,106
1,1154,3,189,7583,3738,17393,128,878,106
1,1151,3,189,7557,3731,17332,127,870,105
1,1147,3,189,7538,3715,17268,127,864,105
1,1143,3,189,7513,3706,17189,127,861,105
1,1141,3,189,7501,3702,17140,126,857,104
1,1141,3,189,7501,3702,17140,126,857,104
1,1141,3,189,7501,3702,17140,126,857,104
1,1141,3,189,7501,3702,17140,126,857,104
1,1138,3,189,7477,3675,17044,120,854,98
1,1129,3,187,7388,3630,16841,111,845,89
1,1129,3,187,7388,3630,16841,111,845,89
1,1129,3,187,7388,3630,16841,111,845,89
1,1129,3,187,7388,3630,16841,111,845,89
1,1127,3,187,7355,3596,16727,108,839,86
1,1124,3,187,7338,3582,16692,107,836,85
1,1124,3,187,7338,3582,16692,107,836,85
1,1102,3,178,7163,3447,16000,89,782,68
1,1102,3,178,7163,3447,16000,89,782,68
1,1102,3,178,7163,3447,16000,89,782,68
1,1102,3,178,7163,3447,16000,89,782,68
1,1102,3,178,7163,3447,16000,89,782,68
1,1102,3,178,7163,3447,16000,89,782,68
1,1098,3,178,7126,3375,15766,86,749,67
1,1098,3,178,7126,3375,15766,86,749,67
1,265,1,0,10,71,39,7,48,7
1,1095,3,178,7093,3354,15639,85,726,66
1,1054,3,167,6766,3106,14525,63,594,45
1,1047,3,167,6733,3089,14404,63,581,45
1,1039,3,163,6646,3038,14138,50,572,35
1,888,3,77,236,626,753,130,157,120
1,1013,3,159,6479,2925,13653,44,539,31
1,1013,3,159,6479,2925,13653,44,539,31
1,1013,3,159,6479,2925,13653,44,539,31
1,1008,3,159,6464,2909,13583,44,536,31
1,1004,3,158,6433,2874,13502,44,534,31
1,858,2,77,233,606,726,126,155,117
1,983,3,157,6302,2799,13136,40,514,27
1,983,3,157,6302,2799,13136,40,514,27
1,111,1,0,0,3,2,2,0,0
1,961,3,155,6204,2752,12848,40,503,27
1,931,3,155,6086,2659,12299,38,492,26
1,931,3,155,6086,2659,12299,38,492,26
1,931,3,155,6086,2659,12299,38,492,26
1,388,2,0,22,46,68,19,14,17
1,911,3,143,5845,2422,11185,32,451,22
1,882,2,139,5703,2313,10570,28,433,19
1,380,0,0,0,3,4,2,0,0
1,859,2,134,5558,2221,9998,28,419,19
1,842,2,133,5441,2150,9641,26,408,17
1,10,1,0,5,48,25,3,32,3
1,840,2,133,5423,2134,9545,26,406,17
1,840,2,133,5423,2134,9545,26,406,17
1,840,2,133,5423,2134,9545,26,406,17
1,837,2,133,5385,2112,9380,23,403,17
1,837,2,133,5385,2112,9380,23,403,17
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,457,1,0,7,4,8,5,0,5
1,835,2,133,5348,2095,9207,23,403,17
1,37,1,0,0,3,7,0,3,0
